positive_ratings,negative_ratings,owners,average_playtime,median_playtime,price
3,0,10000.0,0,0,6.99
2,0,10000.0,0,0,6.99
4,3,10000.0,0,0,6.99
19,2,10000.0,0,0,3.99
17,2,10000.0,0,0,3.99
16,1,10000.0,0,0,3.99
7,1,10000.0,0,0,6.99
2,0,10000.0,0,0,6.99
16,2,10000.0,0,0,6.99
6,0,10000.0,0,0,6.99
4,5,10000.0,0,0,6.99
273,66,75000.0,4,4,0.79
66,95,35000.0,0,0,5.59
6983,643,1500000.0,93,49,7.99
4758,321,1500000.0,86,77,7.99
847,210,750000.0,16,14,7.99
163,42,35000.0,0,0,6.99
138,45,35000.0,0,0,6.99
95,19,35000.0,0,0,6.99
47,16,35000.0,0,0,14.99
2147,207,350000.0,266,262,6.99
1660,226,350000.0,73,108,3.99
1069,117,350000.0,53,56,3.99
1714,148,350000.0,41,43,4.99
9867,1166,1500000.0,54,46,0.0
156,44,75000.0,0,0,2.99
6885,2326,3500000.0,4104,1997,0.0
11722,878,1500000.0,2443,2805,9.99
5323,682,750000.0,2145,2470,9.99
1179,397,350000.0,228,347,4.99
813,343,750000.0,754,1502,4.99
9808,2107,1500000.0,28897,9324,9.99
2962,728,750000.0,1401,1652,8.99
3809,475,350000.0,102,132,8.99
175,75,150000.0,28,39,8.99
694,149,150000.0,2886,2886,8.99
90,181,150000.0,0,0,8.99
151,57,150000.0,0,0,4.49
106,35,150000.0,0,0,4.49
385,196,750000.0,1014,1018,8.99
109,49,350000.0,0,0,8.99
611,226,75000.0,0,0,4.49
1944,482,350000.0,1556,1590,8.99
735,763,350000.0,398,571,17.99
2093,272,350000.0,154,222,1.79
14,15,10000.0,0,0,3.99
5336,903,1500000.0,1834,2894,8.99
6,2,10000.0,0,0,6.99
10,0,10000.0,0,0,6.99
3848,585,750000.0,994,650,7.99
88,13,35000.0,0,0,3.99
135,32,75000.0,0,0,7.99
60,17,35000.0,0,0,7.99
211,26,75000.0,34,34,7.99
859,217,150000.0,135,210,3.99
2987,891,1500000.0,1278,1257,7.99
1109,205,350000.0,248,338,6.99
130,66,150000.0,0,0,3.99
14,42,35000.0,0,0,2.09
5437,264,750000.0,165,241,7.99
716,149,350000.0,53,53,3.99
323,42,150000.0,19,19,3.99
2992,199,1500000.0,473,665,3.49
4079,170,1500000.0,247,183,7.49
404,123,150000.0,337,519,11.99
1727,180,350000.0,32,32,7.99
